id,color,turn,p,i,d
1452,33,6,-4.212,1.743641,9.1125
1453,31,6,-3.888,1.717397,9.1125
1454,31,7,-3.564,1.693252,9.1125
1455,31,-1,-3.564,1.670157,0
1456,31,-1,-3.564,1.647063,0
1457,31,-1,-3.564,1.623968,0
1458,29,7,-3.24,1.601923,9.1125
1459,28,7,-2.916,1.581978,9.1125
1460,28,8,-2.592,1.564132,9.1125
1461,29,-1,-2.592,1.547336,0
1462,28,-1,-2.592,1.530539,0
1463,28,-1,-2.592,1.513743,0
1464,28,-1,-2.592,1.496947,0
1465,28,-1,-2.592,1.480151,0
1466,27,8,-2.268,1.464404,9.1125
1467,27,0,-2.268,1.449708,0
1468,27,0,-2.268,1.435011,0
1469,27,0,-2.268,1.420314,0
1470,27,0,-2.268,1.405618,0
1471,27,0,-2.268,1.390921,0
1472,26,8,-1.944,1.377274,9.1125
1473,26,0,-1.944,1.364677,0
1474,27,0,-1.944,1.35208,0
1475,27,0,-1.944,1.339483,0
1476,27,-10,-2.268,1.325836,-9.1125
1477,27,0,-2.268,1.311139,0
1478,27,0,-2.268,1.296442,0
1479,28,0,-2.268,1.281746,0
1480,28,-1,-2.268,1.267049,0
1481,28,-10,-2.592,1.251303,-9.1125
1482,28,-1,-2.592,1.234506,0
1483,28,-1,-2.592,1.21771,0
1484,28,-1,-2.592,1.200914,0
1485,30,-1,-2.592,1.184118,0
1486,31,-10,-2.916,1.166272,-9.1125
1487,31,-11,-3.24,1.146326,-9.1125
1488,31,-11,-3.564,1.124282,-9.1125
1489,31,-2,-3.564,1.101187,0
1490,32,-2,-3.564,1.078092,0
1491,32,-2,-3.564,1.054997,0
1492,32,-11,-3.888,1.030853,-9.1125
1493,32,-2,-3.888,1.005659,0
1494,32,-2,-3.888,0.980465,0
